com,Part_grave,age_moyen,Part_homme,mod_mois,mod_jour,Part_surf_degradee,Part_lum_degradee,Part_atm_degradee,Part_agglo,Part_secu,mod_int,mod_int,mod_col,mod_catr,circ,mod_plan,mod_situ,mod_trajet,mod_choc
10009,0.0,15.0,100.0,juin,mardi,0.0,0.0,0.0,0.0,0.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Côté gauche
1008,100.0,79.0,100.0,septembre,mercredi,0.0,0.0,100.0,100.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par l'arrière,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Arrière gauche
10096,100.0,7.0,100.0,juin,mercredi,0.0,0.0,0.0,100.0,0.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Avant
10114,50.0,10.5,100.0,mai,samedi,0.0,0.0,0.0,100.0,100.0,Autre intersection,Autre intersection,Deux véhicules - par le côté,Voie communale,Bidirectionnelle,Partie rectiligne,Sur accotement,Domicile - école,Arrière gauche
10195,100.0,69.0,100.0,juillet,lundi,0.0,0.0,0.0,0.0,100.0,Hors intersection,Hors intersection,Sans collision,Route départementale,Non renseigné,Partie rectiligne,Sur chaussée,Promenade - loisirs,Avant
1021,0.0,50.0,100.0,juin,dimanche,0.0,0.0,0.0,0.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Côté gauche
10251,100.0,69.0,100.0,aout,dimanche,0.0,0.0,0.0,0.0,100.0,Hors intersection,Hors intersection,Sans collision,Route départementale,Bidirectionnelle,En courbe à droite,Sur accotement,Promenade - loisirs,Aucun
10260,100.0,66.0,100.0,novembre,mercredi,0.0,100.0,100.0,0.0,100.0,Intersection en T,Intersection en T,Deux véhicules - par l'arrière,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Non renseigné,Avant gauche
10263,100.0,25.0,100.0,avril,mardi,100.0,100.0,100.0,0.0,0.0,Hors intersection,Hors intersection,Deux véhicules - par l'arrière,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Domicile - travail,Arrière
10296,100.0,17.0,100.0,juin,jeudi,0.0,0.0,0.0,0.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Domicile - travail,Avant
10345,50.0,29.0,100.0,avril,vendredi,0.0,0.0,50.0,50.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par l'arrière,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Non renseigné,Avant
10355,0.0,42.0,0.0,avril,lundi,0.0,100.0,0.0,0.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par l'arrière,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Domicile - travail,Arrière
1043,40.0,49.6,80.0,mars,lundi,0.0,0.0,0.0,100.0,80.0,Giratoire,Giratoire,Deux véhicules - par le côté,Route départementale,Non renseigné,En courbe à gauche,Sur piste cyclable,Promenade - loisirs,Arrière
1045,0.0,31.0,100.0,janvier,lundi,0.0,0.0,100.0,100.0,100.0,Intersection en X,Intersection en X,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Avant
1054,100.0,58.0,50.0,juin,samedi,0.0,0.0,0.0,50.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Domicile - travail,Avant
1089,100.0,39.5,50.0,septembre,samedi,0.0,0.0,0.0,0.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Utilisation professionnelle,Côté gauche
1093,100.0,57.0,100.0,octobre,jeudi,0.0,0.0,0.0,0.0,100.0,Giratoire,Giratoire,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Côté gauche
1099,0.0,15.0,100.0,avril,dimanche,0.0,0.0,100.0,0.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Non renseigné,Côté gauche
11037,0.0,53.0,100.0,decembre,vendredi,0.0,100.0,0.0,0.0,100.0,Hors intersection,Hors intersection,Deux véhicules - frontale,Route départementale,Bidirectionnelle,En courbe à gauche,Sur chaussée,Domicile - travail,Avant
1104,100.0,12.0,0.0,juin,mardi,0.0,0.0,0.0,100.0,0.0,Hors intersection,Hors intersection,Deux véhicules - frontale,Route départementale,A chaussée séparées,En courbe à droite,Autre,Promenade - loisirs,Arrière
11063,100.0,13.0,100.0,octobre,mercredi,0.0,0.0,0.0,0.0,100.0,Intersection en X,Intersection en X,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Avant
11069,21.311475409836063,40.68852459016394,90.1639344262295,juin,mardi,4.918032786885246,18.0327868852459,1.639344262295082,65.57377049180327,98.36065573770492,Hors intersection,Hors intersection,Deux véhicules - par le côté,Voie communale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Aucun
11084,0.0,46.0,100.0,juin,mardi,0.0,0.0,0.0,0.0,100.0,Hors intersection,Hors intersection,Trois véhicules et plus - collisions multiples,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Arrière
11091,100.0,53.333333333333336,100.0,juin,samedi,33.33333333333333,0.0,33.33333333333333,66.66666666666666,100.0,Hors intersection,Hors intersection,Deux véhicules - frontale,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Aucun
11106,100.0,77.66666666666667,66.66666666666666,janvier,mercredi,0.0,0.0,33.33333333333333,33.33333333333333,100.0,Giratoire,Giratoire,Deux véhicules - frontale,Voie communale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Côté gauche
11113,100.0,68.0,100.0,avril,jeudi,0.0,0.0,0.0,0.0,100.0,Hors intersection,Hors intersection,Sans collision,Route départementale,Bidirectionnelle,En courbe à droite,Sur chaussée,Promenade - loisirs,Avant
11130,50.0,49.5,100.0,septembre,jeudi,0.0,0.0,0.0,100.0,100.0,Intersection en X,Intersection en X,Trois véhicules et plus - collisions multiples,Route départementale,Bidirectionnelle,Non renseigné,null,Promenade - loisirs,Avant
11147,100.0,72.0,100.0,aout,mardi,0.0,0.0,0.0,0.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,En courbe à gauche,Sur chaussée,Promenade - loisirs,Avant
11184,100.0,74.0,100.0,juin,mardi,0.0,0.0,0.0,0.0,100.0,Hors intersection,Hors intersection,Sans collision,Route départementale,Bidirectionnelle,En courbe à gauche,Sur accotement,Promenade - loisirs,Avant droit
11198,50.0,33.0,100.0,octobre,mercredi,0.0,100.0,0.0,0.0,50.0,Hors intersection,Hors intersection,Deux véhicules - par l'arrière,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Côté droit
11262,24.0,45.24666666666667,75.33333333333333,mai,vendredi,3.3333333333333335,10.666666666666668,5.333333333333334,91.33333333333333,96.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Voie communale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Non renseigné,Aucun
11279,100.0,12.0,100.0,avril,mercredi,0.0,0.0,0.0,100.0,0.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Voie communale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Arrière
11304,100.0,57.0,0.0,juin,lundi,0.0,0.0,0.0,100.0,0.0,Intersection en Y,Intersection en Y,Autre collision,Voie communale,Bidirectionnelle,En courbe à droite,Sur chaussée,Non renseigné,Avant
11333,100.0,70.0,100.0,septembre,lundi,0.0,0.0,0.0,0.0,100.0,Hors intersection,Hors intersection,Autre collision,Route départementale,Bidirectionnelle,En courbe à gauche,Sur chaussée,Promenade - loisirs,Avant gauche
11353,100.0,71.0,100.0,mai,lundi,0.0,0.0,0.0,0.0,0.0,Hors intersection,Hors intersection,Deux véhicules - frontale,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Avant
11388,100.0,63.0,100.0,novembre,mardi,0.0,0.0,0.0,100.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par l'arrière,Voie communale,Bidirectionnelle,En courbe à droite,Sur chaussée,Promenade - loisirs,Avant
1143,100.0,59.0,100.0,juin,mercredi,0.0,0.0,0.0,100.0,100.0,Giratoire,Giratoire,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Non renseigné,Avant
1192,100.0,14.0,100.0,mai,jeudi,0.0,0.0,0.0,0.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Avant gauche
12043,100.0,63.0,100.0,avril,dimanche,0.0,0.0,0.0,0.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par l'arrière,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Arrière
12052,50.0,48.25,100.0,avril,samedi,0.0,0.0,25.0,75.0,25.0,Intersection en Y,Intersection en Y,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Côté gauche
1207,0.0,6.0,100.0,juillet,mardi,0.0,0.0,0.0,100.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Avant
12138,0.0,6.0,100.0,mars,lundi,0.0,0.0,0.0,100.0,100.0,Hors intersection,Hors intersection,Deux véhicules - frontale,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Domicile - école,Côté droit
12164,0.0,46.0,100.0,aout,mercredi,0.0,0.0,0.0,0.0,100.0,Hors intersection,Hors intersection,Trois véhicules et plus - collisions multiples,Route départementale,Bidirectionnelle,En courbe à gauche,Sur chaussée,Promenade - loisirs,Avant droit
12168,100.0,34.0,100.0,septembre,dimanche,0.0,0.0,0.0,100.0,100.0,Autre intersection,Autre intersection,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,En courbe à gauche,Sur accotement,Non renseigné,Avant
12176,80.0,53.4,100.0,octobre,jeudi,0.0,40.0,0.0,60.0,80.0,Intersection en X,Intersection en X,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Côté droit
12204,66.66666666666666,64.0,100.0,septembre,mardi,0.0,0.0,0.0,100.0,100.0,Hors intersection,Hors intersection,Trois véhicules et plus - en chaîne,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Avant
12208,50.0,38.0,75.0,octobre,samedi,0.0,0.0,25.0,50.0,75.0,Intersection en X,Intersection en X,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Avant
12211,100.0,23.0,100.0,mai,samedi,0.0,0.0,0.0,0.0,100.0,Hors intersection,Hors intersection,Sans collision,Route départementale,Non renseigné,En courbe à droite,Sur accotement,Promenade - loisirs,Avant
12215,100.0,19.0,100.0,avril,samedi,0.0,0.0,0.0,0.0,100.0,Hors intersection,Hors intersection,Trois véhicules et plus - en chaîne,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Côté gauche
12285,100.0,14.0,100.0,juin,jeudi,0.0,0.0,0.0,0.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Côté droit
