dep,Part_grave,age_moyen,Part_homme,mod_mois,mod_jour,Part_surf_degradee,Part_lum_degradee,Part_atm_degradee,Part_agglo,Part_secu,mod_col,mod_catr
51,53,39,80,septembre,mercredi,13,16,15,74,88,Deux véhicules - par le côté,Voie communale
7,71,47,80,juillet,samedi,7,7,8,41,85,Deux véhicules - par le côté,Route départementale
54,26,34,79,septembre,mercredi,10,17,11,86,93,Deux véhicules - par le côté,Voie communale
15,71,46,88,juillet,mercredi,4,8,13,33,90,Deux véhicules - par le côté,Route départementale
987,88,37,88,juin,dimanche,16,58,11,47,8,Deux véhicules - frontale,Route nationale
11,44,45,82,juillet,mercredi,4,14,8,69,87,Deux véhicules - par le côté,Voie communale
69,29,36,74,mai,mardi,10,20,12,90,93,Deux véhicules - par le côté,Voie communale
29,47,41,82,mai,mercredi,14,15,18,65,86,Deux véhicules - par le côté,Voie communale
42,44,44,83,juillet,mercredi,8,10,12,70,91,Deux véhicules - par le côté,Voie communale
73,70,45,80,juillet,samedi,7,12,12,54,89,Deux véhicules - par le côté,Route départementale
974,38,28,92,aout,mercredi,5,31,6,73,87,Deux véhicules - par le côté,Voie communale
87,33,38,85,juillet,mercredi,11,13,9,71,92,Autre collision,Voie communale
64,31,45,74,aout,mercredi,8,13,12,84,93,Deux véhicules - par le côté,Voie communale
3,57,44,76,juin,jeudi,11,12,18,70,86,Deux véhicules - par le côté,Route départementale
30,50,42,82,juillet,lundi,5,11,7,67,89,Deux véhicules - par le côté,Voie communale
34,45,40,78,septembre,vendredi,5,16,10,74,88,Deux véhicules - par le côté,Voie communale
59,49,33,75,octobre,vendredi,12,18,15,85,93,Deux véhicules - par le côté,Voie communale
8,78,40,80,septembre,mercredi,9,15,15,73,76,Deux véhicules - par le côté,Route départementale
22,55,45,79,aout,mercredi,14,10,18,55,86,Deux véhicules - par le côté,Route départementale
28,49,39,78,septembre,mercredi,11,20,15,71,87,Deux véhicules - par le côté,Route départementale
85,67,46,73,aout,mercredi,8,13,13,71,82,Deux véhicules - par le côté,Voie communale
973,39,27,81,janvier,mardi,8,30,10,66,85,Deux véhicules - par le côté,Voie communale
16,72,42,83,septembre,mercredi,3,12,7,57,88,Deux véhicules - par le côté,Route départementale
35,34,41,70,juin,mardi,17,17,20,81,94,Deux véhicules - par le côté,Voie communale
52,48,41,79,novembre,samedi,22,10,13,60,87,Deux véhicules - par le côté,Route départementale
71,62,44,82,septembre,mercredi,8,12,14,66,80,Deux véhicules - par le côté,Route départementale
47,65,46,75,septembre,mardi,9,12,13,59,80,Deux véhicules - par le côté,Route départementale
43,74,46,86,juin,samedi,5,3,14,50,86,Deux véhicules - par le côté,Route départementale
5,53,44,85,aout,jeudi,8,5,11,59,84,Deux véhicules - par le côté,Route départementale
31,32,39,74,octobre,mercredi,8,20,11,84,91,Deux véhicules - par le côté,Voie communale
18,53,43,74,juillet,vendredi,11,14,18,68,86,Deux véhicules - par le côté,Route départementale
70,66,46,81,juillet,samedi,8,10,9,60,88,Deux véhicules - par le côté,Route départementale
27,56,36,81,septembre,jeudi,11,17,16,67,77,Deux véhicules - par le côté,Route départementale
61,69,42,78,juin,vendredi,12,10,17,59,85,Deux véhicules - par le côté,Route départementale
75,5,37,66,juin,mercredi,15,25,16,99,82,Deux véhicules - par le côté,Voie communale
17,34,40,65,aout,mercredi,8,14,8,82,92,Deux véhicules - par le côté,Voie communale
26,47,43,79,septembre,mercredi,6,13,9,67,87,Deux véhicules - par le côté,Voie communale
46,67,53,85,juin,jeudi,10,13,14,40,77,Deux véhicules - par le côté,Route départementale
78,43,36,79,septembre,mercredi,11,16,14,82,95,Deux véhicules - par le côté,Voie communale
89,56,41,82,juillet,jeudi,9,19,9,59,77,Deux véhicules - par le côté,Route départementale
77,63,39,85,juin,jeudi,13,20,16,64,92,Deux véhicules - par le côté,Route départementale
6,35,42,82,juin,mercredi,2,10,4,85,93,Deux véhicules - par le côté,Voie communale
68,52,42,75,juin,vendredi,10,15,12,76,88,Deux véhicules - par le côté,Route départementale
90,26,35,77,juin,mardi,17,12,16,90,94,Deux véhicules - par le côté,Voie communale
60,60,37,84,juillet,mercredi,11,14,14,62,75,Deux véhicules - par le côté,Route départementale
978,60,24,100,mars,vendredi,0,60,0,100,20,Deux véhicules - frontale,Voie communale
19,45,43,81,juillet,mardi,10,12,11,76,89,Deux véhicules - par le côté,Voie communale
41,48,39,74,juillet,mercredi,9,13,14,74,85,Deux véhicules - par le côté,Voie communale
23,68,36,86,septembre,mercredi,10,7,15,36,78,Deux véhicules - par le côté,Route départementale
2A,62,45,88,aout,vendredi,2,5,1,52,84,Deux véhicules - par le côté,Route départementale
55,54,39,76,aout,mercredi,13,16,15,63,78,Deux véhicules - par le côté,Route départementale
976,33,21,97,aout,dimanche,2,33,0,77,85,Deux véhicules - frontale,Route nationale
93,47,33,81,juin,mercredi,14,20,18,97,96,Deux véhicules - par le côté,Voie communale
95,30,36,83,septembre,dimanche,8,13,11,89,95,Deux véhicules - par le côté,Voie communale
40,72,48,75,aout,mercredi,5,13,10,64,74,Deux véhicules - par le côté,Route départementale
38,49,41,77,juin,mercredi,8,13,10,71,88,Deux véhicules - par le côté,Voie communale
25,48,39,77,septembre,vendredi,11,16,14,80,90,Deux véhicules - par le côté,Voie communale
