dep,catr,homme,part_indemne,part_tue,part_blesse_hospi,part_blesse_leger
82,4,1,0.12,0.05333333333333334,0.4533333333333333,0.37333333333333335
89,3,1,0.019230769230769232,0.08653846153846154,0.5384615384615384,0.3557692307692308
50,2,1,0,0,0.42857142857142855,0.5714285714285714
1,4,1,0,0,0.75,0.25
10,3,1,0.022222222222222223,0.16666666666666666,0.5222222222222223,0.28888888888888886
66,4,1,0.03508771929824561,0.06140350877192982,0.38596491228070173,0.5175438596491229
53,9,0,0,0,1,0
17,9,1,0.17647058823529413,0.11764705882352941,0.35294117647058826,0.35294117647058826
67,9,0,0.23076923076923078,0,0.3076923076923077,0.46153846153846156
17,9,0,0,0.125,0.25,0.625
05,3,0,0,0.08333333333333333,0.5,0.4166666666666667
55,4,0,0,0.1,0.4,0.5
93,4,1,0.05483028720626632,0.0039164490861618795,0.4751958224543081,0.4660574412532637
31,4,1,0.10110803324099724,0.01662049861495845,0.19113573407202217,0.6911357340720221
28,3,1,0.03816793893129771,0.1297709923664122,0.5114503816793893,0.32061068702290074
61,3,1,0.010309278350515464,0.08247422680412371,0.6082474226804123,0.29896907216494845
77,9,0,0,0,0.6666666666666666,0.3333333333333333
01,4,1,0.03508771929824561,0.03508771929824561,0.4824561403508772,0.4473684210526316
59,6,1,0.1111111111111111,0,0.3333333333333333,0.5555555555555556
65,4,1,0.039603960396039604,0.039603960396039604,0.22772277227722773,0.693069306930693
38,4,1,0.07875894988066826,0.02386634844868735,0.3412887828162291,0.5560859188544153
85,4,1,0.07471264367816093,0.09770114942528736,0.5057471264367817,0.3218390804597701
18,4,0,0.08108108108108109,0.08108108108108109,0.35135135135135137,0.4864864864864865
53,3,1,0.043478260869565216,0.11594202898550725,0.6811594202898551,0.15942028985507245
63,4,1,0.042704626334519574,0.0035587188612099642,0.1601423487544484,0.7935943060498221
14,4,0,0.03571428571428571,0,0.5,0.4642857142857143
27,3,0,0.041666666666666664,0.041666666666666664,0.5833333333333334,0.3333333333333333
75,4,0,0.06357552581261951,0.005019120458891013,0.05783938814531549,0.873565965583174
44,3,0,0.01639344262295082,0.06557377049180328,0.6885245901639344,0.22950819672131148
37,4,0,0.06130268199233716,0.01532567049808429,0.2988505747126437,0.6245210727969349
02,4,0,0,0,0.43478260869565216,0.5652173913043478
12,4,1,0.08695652173913043,0.06521739130434782,0.5652173913043478,0.2826086956521739
16,2,1,0,0.5,0.5,0
74,3,0,0,0.09259259259259259,0.7222222222222222,0.18518518518518517
68,9,0,0,0,0.875,0.125
68,4,0,0.01818181818181818,0,0.43636363636363634,0.5454545454545454
26,2,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
18,3,0,0.08695652173913043,0.043478260869565216,0.5652173913043478,0.30434782608695654
63,7,0,0,0,0.2,0.8
6,7,0,0,0,0,1
49,4,0,0.020361990950226245,0.00904977375565611,0.14705882352941177,0.8235294117647058
35,3,0,0.019230769230769232,0.21153846153846154,0.6153846153846154,0.15384615384615385
55,3,0,0,0.045454545454545456,0.5,0.45454545454545453
91,4,1,0.07425742574257425,0.017326732673267328,0.2004950495049505,0.7079207920792079
92,3,0,0.06153846153846154,0.019230769230769232,0.08076923076923077,0.8384615384615385
04,3,0,0,0.06666666666666667,0.4666666666666667,0.4666666666666667
18,4,1,0.05128205128205128,0.01282051282051282,0.3333333333333333,0.6025641025641025
01,3,0,0,0.11363636363636363,0.6590909090909091,0.22727272727272727
45,3,1,0.02631578947368421,0.07236842105263158,0.5197368421052632,0.3815789473684211
39,4,1,0.11904761904761904,0.07142857142857142,0.7380952380952381,0.07142857142857142
94,4,1,0.0698051948051948,0.003246753246753247,0.16233766233766234,0.7646103896103896
06,2,0,0.15384615384615385,0,0.38461538461538464,0.46153846153846156
72,4,0,0,0,0.3,0.7
93,9,1,0.11320754716981132,0.018867924528301886,0.3584905660377358,0.5094339622641509
04,9,1,0,0,0.5,0.5
27,9,1,0,0.125,0.75,0.125
26,3,1,0.020100502512562814,0.06030150753768844,0.49246231155778897,0.4271356783919598
56,4,0,0.026785714285714284,0.017857142857142856,0.30357142857142855,0.6517857142857143
90,3,0,0.03225806451612903,0.03225806451612903,0.45161290322580644,0.4838709677419355
32,4,1,0.027777777777777776,0.1111111111111111,0.3611111111111111,0.5
60,9,1,0.14285714285714285,0,0.8571428571428571,0
73,4,1,0.06329113924050633,0.0759493670886076,0.4936708860759494,0.3670886075949367
29,4,1,0.04672897196261682,0.01557632398753894,0.3987538940809969,0.5389408099688473
52,2,1,0.1111111111111111,0.1111111111111111,0.5555555555555556,0.2222222222222222
45,2,0,0,0,0,1
53,2,1,0,0.14285714285714285,0.42857142857142855,0.42857142857142855
31,2,0,0,0,0.6666666666666666,0.3333333333333333
04,3,1,0.05128205128205128,0.08974358974358974,0.5641025641025641,0.2948717948717949
49,9,1,0.1,0,0.55,0.35
54,3,1,0.022222222222222223,0.0962962962962963,0.5407407407407407,0.34074074074074073
79,3,0,0,0,0.5,0.5
75,4,1,0.16995393882130624,0.004488012282980985,0.05220266918625251,0.7733553797094602
38,7,0,0,0,0.3333333333333333,0.6666666666666666
92,5,1,0.2222222222222222,0,0.1111111111111111,0.6666666666666666
47,3,0,0.037037037037037035,0.18518518518518517,0.6666666666666666,0.1111111111111111
28,3,0,0,0,0.5,0.5
54,3,0,0,0,0.5454545454545454,0.45454545454545453
58,4,1,0.027777777777777776,0.006944444444444444,0.3125,0.6527777777777778
40,5,1,0,0,0.3333333333333333,0.6666666666666666
17,2,1,0,0,0,1
82,3,0,0.07692307692307693,0,0.6923076923076923,0.23076923076923078
13,3,0,0,0.1,0.62,0.28
79,4,1,0.07936507936507936,0.031746031746031744,0.38095238095238093,0.5079365079365079
71,9,1,0.2,0,0.4,0.4
37,3,1,0.03389830508474576,0.09322033898305085,0.576271186440678,0.2966101694915254
90,4,0,0.08695652173913043,0,0.17391304347826086,0.7391304347826086
71,3,1,0.030303030303030304,0.09848484848484848,0.553030303030303,0.3181818181818182
67,3,0,0.014084507042253521,0.056338028169014086,0.6619718309859155,0.2676056338028169
77,5,0,0.3333333333333333,0,0,0.6666666666666666
88,4,1,0.014285714285714285,0.04285714285714286,0.6142857142857143,0.32857142857142857
95,2,1,0,0.16666666666666666,0.16666666666666666,0.6666666666666666
40,3,0,0,0.03125,0.65625,0.3125
17,3,1,0.0611353711790393,0.1091703056768559,0.5851528384279476,0.2445414847161572
21,2,1,0.16666666666666666,0,0.3333333333333333,0.5
67,3,1,0.01858736059479554,0.08178438661710037,0.6059479553903345,0.2936802973977695
68,2,0,0,0,0.5,0.5
73,4,0,0.06451612903225806,0.03225806451612903,0.5483870967741935,0.3548387096774194
35,3,1,0.015810276679841896,0.1067193675889328,0.6403162055335968,0.23715415019762845
42,9,0,0,0,0.18181818181818182,0.8181818181818182
33,3,0,0.013888888888888888,0.06944444444444445,0.5833333333333334,0.3333333333333333
