dep,Part_grave,age_moyen,Part_homme,Part_surf_degradee,Part_lum_degradee,Part_atm_degradee,Part_agglo,Part_secu
51,53,39,80,13,16,15,74,88
7,71,47,80,7,7,8,41,85
54,26,34,79,10,17,11,86,93
15,71,46,88,4,8,13,33,90
987,88,37,88,16,58,11,47,8
11,44,45,82,4,14,8,69,87
69,29,36,74,10,20,12,90,93
29,47,41,82,14,15,18,65,86
42,44,44,83,8,10,12,70,91
73,70,45,80,7,12,12,54,89
974,38,28,92,5,31,6,73,87
87,33,38,85,11,13,9,71,92
64,31,45,74,8,13,12,84,93
3,57,44,76,11,12,18,70,86
30,50,42,82,5,11,7,67,89
34,45,40,78,5,16,10,74,88
59,49,33,75,12,18,15,85,93
8,78,40,80,9,15,15,73,76
22,55,45,79,14,10,18,55,86
28,49,39,78,11,20,15,71,87
85,67,46,73,8,13,13,71,82
973,39,27,81,8,30,10,66,85
16,72,42,83,3,12,7,57,88
35,34,41,70,17,17,20,81,94
52,48,41,79,22,10,13,60,87
71,62,44,82,8,12,14,66,80
47,65,46,75,9,12,13,59,80
43,74,46,86,5,3,14,50,86
5,53,44,85,8,5,11,59,84
31,32,39,74,8,20,11,84,91
18,53,43,74,11,14,18,68,86
70,66,46,81,8,10,9,60,88
27,56,36,81,11,17,16,67,77
61,69,42,78,12,10,17,59,85
75,5,37,66,15,25,16,99,82
17,34,40,65,8,14,8,82,92
26,47,43,79,6,13,9,67,87
46,67,53,85,10,13,14,40,77
78,43,36,79,11,16,14,82,95
89,56,41,82,9,19,9,59,77
77,63,39,85,13,20,16,64,92
6,35,42,82,2,10,4,85,93
68,52,42,75,10,15,12,76,88
90,26,35,77,17,12,16,90,94
60,60,37,84,11,14,14,62,75
978,60,24,100,0,60,0,100,20
19,45,43,81,10,12,11,76,89
41,48,39,74,9,13,14,74,85
23,68,36,86,10,7,15,36,78
2A,62,45,88,2,5,1,52,84
55,54,39,76,13,16,15,63,78
976,33,21,97,2,33,0,77,85
93,47,33,81,14,20,18,97,96
95,30,36,83,8,13,11,89,95
40,72,48,75,5,13,10,64,74
38,49,41,77,8,13,10,71,88
25,48,39,77,11,16,14,80,90
971,68,32,95,7,29,10,48,82
2B,55,44,89,9,3,13,44,87
44,47,40,71,10,16,14,83,88
82,61,47,76,8,13,14,63,84
53,74,48,81,5,8,16,51,85
92,11,36,73,11,19,12,97,97
86,45,38,73,14,18,14,73,88
58,43,40,79,15,13,14,81,90
81,72,48,84,6,13,10,62,83
33,32,36,66,12,20,13,89,93
48,61,43,90,7,5,5,50,81
67,25,36,64,13,19,15,90,92
84,64,45,81,3,13,8,52,90
79,59,38,79,9,12,15,68,83
9,78,49,89,5,13,15,48,82
24,70,44,82,10,8,12,55,82
32,61,51,82,7,11,13,39,83
88,70,41,83,9,10,17,64,84
1,61,42,81,7,13,12,60,82
56,33,40,76,11,14,13,75,91
36,37,40,77,9,15,11,73,88
10,53,38,72,11,18,12,79,87
37,41,37,68,14,18,13,86,94
49,25,36,67,14,16,11,87,94
988,32,42,78,3,25,3,82,53
63,33,39,85,6,14,8,76,87
65,46,47,74,8,8,10,71,91
4,65,48,86,5,6,6,33,89
39,85,44,85,7,5,12,51,80
62,58,34,75,13,16,16,83,88
12,71,47,88,3,6,9,52,86
83,63,45,83,4,14,7,62,92
13,37,41,85,4,15,5,77,90
14,52,42,80,9,12,12,69,78
21,42,40,74,13,15,16,84,91
66,57,47,83,3,10,6,66,76
94,16,35,76,12,18,15,97,96
91,28,37,82,10,16,11,84,92
74,64,44,79,7,14,10,65,85
72,48,42,78,10,13,12,73,83
76,48,37,84,13,17,12,77,89
2,64,35,83,10,16,13,63,82
972,44,27,94,4,32,2,45,81
80,28,32,77,15,17,15,84,87
50,45,40,79,14,13,19,69,89
57,45,37,83,10,15,13,74,91
45,36,37,72,10,18,13,83,80
